ID,cluster,cluster16,img
59rzm00099,1_1_2,1_1,http://pics.dmm.co.jp/digital/video/59rzm00099/59rzm00099ps.jpg
61mdb00454,1_1_2,1_1,http://pics.dmm.co.jp/digital/video/61mdb00454/61mdb00454ps.jpg
61mdb00468,1_1_2,1_1,http://pics.dmm.co.jp/digital/video/61mdb00468/61mdb00468ps.jpg
61mdb00494,1_1_2,1_1,http://pics.dmm.co.jp/digital/video/61mdb00494/61mdb00494ps.jpg
61mdb00521,1_1_2,1_1,http://pics.dmm.co.jp/digital/video/61mdb00521/61mdb00521ps.jpg
61mdb00523,1_1_2,1_1,http://pics.dmm.co.jp/digital/video/61mdb00523/61mdb00523ps.jpg
61rmdb00338,1_1_2,1_1,http://pics.dmm.co.jp/digital/video/61rmdb00338/61rmdb00338ps.jpg
61rmdb00360,1_1_2,1_1,http://pics.dmm.co.jp/digital/video/61rmdb00360/61rmdb00360ps.jpg
61rmdb00394,1_1_2,1_1,http://pics.dmm.co.jp/digital/video/61rmdb00394/61rmdb00394ps.jpg
61rmdb00508,1_1_2,1_1,http://pics.dmm.co.jp/digital/video/61rmdb00508/61rmdb00508ps.jpg
61rmdb00531,1_1_2,1_1,http://pics.dmm.co.jp/digital/video/61rmdb00531/61rmdb00531ps.jpg
apk00005,1_1_2,1_1,http://pics.dmm.co.jp/digital/video/apk00005/apk00005ps.jpg
bomn00099,1_1_2,1_1,http://pics.dmm.co.jp/digital/video/bomn00099/bomn00099ps.jpg
club00117,1_1_2,1_1,http://pics.dmm.co.jp/digital/video/club00117/club00117ps.jpg
club00166,1_1_2,1_1,http://pics.dmm.co.jp/digital/video/club00166/club00166ps.jpg
club00180,1_1_2,1_1,http://pics.dmm.co.jp/digital/video/club00180/club00180ps.jpg
h_047at00084,1_1_2,1_1,http://pics.dmm.co.jp/digital/video/h_047at00084/h_047at00084ps.jpg
h_047wa00170,1_1_2,1_1,http://pics.dmm.co.jp/digital/video/h_047wa00170/h_047wa00170ps.jpg
h_113qp00003,1_1_2,1_1,http://pics.dmm.co.jp/digital/video/h_113qp00003/h_113qp00003ps.jpg
h_113qp00004,1_1_2,1_1,http://pics.dmm.co.jp/digital/video/h_113qp00004/h_113qp00004ps.jpg
h_113sk00026,1_1_2,1_1,http://pics.dmm.co.jp/digital/video/h_113sk00026/h_113sk00026ps.jpg
h_113sk00032,1_1_2,1_1,http://pics.dmm.co.jp/digital/video/h_113sk00032/h_113sk00032ps.jpg
h_113xp00009,1_1_2,1_1,http://pics.dmm.co.jp/digital/video/h_113xp00009/h_113xp00009ps.jpg
h_244sama00701,1_1_2,1_1,http://pics.dmm.co.jp/digital/video/h_244sama00701/h_244sama00701ps.jpg
h_565scop00067,1_1_2,1_1,http://pics.dmm.co.jp/digital/video/h_565scop00067/h_565scop00067ps.jpg
h_565scop00074,1_1_2,1_1,http://pics.dmm.co.jp/digital/video/h_565scop00074/h_565scop00074ps.jpg
h_565scop00114,1_1_2,1_1,http://pics.dmm.co.jp/digital/video/h_565scop00114/h_565scop00114ps.jpg
h_565scop00118,1_1_2,1_1,http://pics.dmm.co.jp/digital/video/h_565scop00118/h_565scop00118ps.jpg
h_565scop00122,1_1_2,1_1,http://pics.dmm.co.jp/digital/video/h_565scop00122/h_565scop00122ps.jpg
h_565scop00123,1_1_2,1_1,http://pics.dmm.co.jp/digital/video/h_565scop00123/h_565scop00123ps.jpg
h_565scop00130,1_1_2,1_1,http://pics.dmm.co.jp/digital/video/h_565scop00130/h_565scop00130ps.jpg
